exerciseId,field,before,after
"ruck","movementPattern","Other","Cardio / Locomotion"
"ruck","primaryMuscles","full_body","cardiovascular"
"sandbag-bear-hug-carry","primaryMuscles","grip","forearms,traps"
"sandbag-bear-hug-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"sandbag-clean","movementPattern","Other","Power / Plyometric"
"sandbag-clean","primaryMuscles","full_body","glutes,traps"
"sandbag-clean","secondaryMuscles","-","quadriceps,hamstrings"
"sandbag-front-carry","primaryMuscles","grip","forearms,traps"
"sandbag-front-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"sandbag-shoulder-carry","primaryMuscles","grip","forearms,traps"
"sandbag-shoulder-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"scapular-wall-slide","movementPattern","Other","Shoulder Isolation"
"scapular-wall-slide","primaryMuscles","full_body","rear_deltoids"
"seated-box-jump","primaryMuscles","full_body","quadriceps,glutes"
"seated-box-jump","secondaryMuscles","rectus_abdominis,calves","calves"
"shadow-boxing","movementPattern","Other","Cardio / Locomotion"
"shadow-boxing","primaryMuscles","full_body","cardiovascular"
"shoulder-car","movementPattern","Other","Mobility"
"shoulder-car","primaryMuscles","full_body","mobility"
"single-arm-cable-front-raise","movementPattern","Other","Shoulder Isolation"
"single-arm-dumbbell-floor-press","primaryMuscles","full_body","chest"
"single-arm-dumbbell-incline-press","movementPattern","Other","Horizontal Push"
"single-arm-dumbbell-incline-press","primaryMuscles","full_body","chest"
"single-arm-dumbbell-lateral-raise","movementPattern","Other","Shoulder Isolation"
"single-arm-dumbbell-snatch","movementPattern","Other","Power / Plyometric"
"single-arm-dumbbell-snatch","primaryMuscles","full_body","glutes,traps"
"single-arm-dumbbell-snatch","secondaryMuscles","-","quadriceps,hamstrings"
"single-arm-kettlebell-floor-press","primaryMuscles","full_body","chest"
"single-arm-kettlebell-press","movementPattern","Other","Vertical Push"
"single-arm-kettlebell-press","primaryMuscles","full_body","front_deltoids"
"single-leg-broad-jump","primaryMuscles","full_body","quadriceps,glutes"
"single-leg-broad-jump","secondaryMuscles","rectus_abdominis,calves","calves"
"single-leg-hop","primaryMuscles","full_body","quadriceps,glutes"
"single-leg-hop","secondaryMuscles","rectus_abdominis,calves","calves"
"single-leg-leg-extension","movementPattern","Other","Squat / Knee Dominant"
"single-leg-pogo-jump","primaryMuscles","full_body","quadriceps,glutes"
"single-leg-pogo-jump","secondaryMuscles","rectus_abdominis,calves","calves"
"single-leg-sit-to-stand","movementPattern","Other","Squat / Knee Dominant"
"single-leg-sit-to-stand","primaryMuscles","full_body","quadriceps"
"single-leg-sit-to-stand","secondaryMuscles","-","glutes"
"skater-jump","primaryMuscles","full_body","quadriceps,glutes"
"skater-jump","secondaryMuscles","rectus_abdominis,calves","calves"
"slam-ball-bear-hug-carry","primaryMuscles","grip","forearms,traps"
"slam-ball-bear-hug-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"slam-ball-ground-to-shoulder","primaryMuscles","full_body","rectus_abdominis"
"slam-ball-ground-to-shoulder","secondaryMuscles","rectus_abdominis,calves","front_deltoids"
"sled-bear-crawl-drag","movementPattern","Other","Cardio / Locomotion"
"sled-bear-crawl-drag","primaryMuscles","full_body","cardiovascular"
"smith-machine-back-squat","equipmentId","selectorized_machine","smith_machine"
"smith-machine-back-squat","family","Smith  Back Squat","Smith Back Squat"
"smith-machine-bench-press","equipmentId","selectorized_machine","smith_machine"
"smith-machine-bench-press","family","Smith  Bench Press","Smith Bench Press"
"smith-machine-bent-over-row","equipmentId","selectorized_machine","smith_machine"
"smith-machine-bent-over-row","family","Smith  Bent-Over Row","Smith Bent-Over Row"
"smith-machine-box-squat","equipmentId","selectorized_machine","smith_machine"
"smith-machine-box-squat","family","Smith  Box Squat","Smith Box Squat"
"smith-machine-bulgarian-split-squat","equipmentId","selectorized_machine","smith_machine"
"smith-machine-bulgarian-split-squat","family","Smith  Bulgarian Split Squat","Smith Bulgarian Split Squat"
"smith-machine-calf-raise","equipmentId","selectorized_machine","smith_machine"
"smith-machine-calf-raise","family","Smith  Calf Raise","Smith Calf Raise"
"smith-machine-deadlift","equipmentId","selectorized_machine","smith_machine"
"smith-machine-deadlift","family","Smith  Deadlift","Smith Deadlift"
"smith-machine-decline-bench-press","equipmentId","selectorized_machine","smith_machine"
"smith-machine-decline-bench-press","family","Smith   Bench Press","Smith Bench Press"
"smith-machine-front-squat","equipmentId","selectorized_machine","smith_machine"
"smith-machine-front-squat","family","Smith  Front Squat","Smith Front Squat"
"smith-machine-hip-thrust","equipmentId","selectorized_machine","smith_machine"
"smith-machine-hip-thrust","family","Smith  Hip Thrust","Smith Hip Thrust"
"smith-machine-incline-bench-press","equipmentId","selectorized_machine","smith_machine"
"smith-machine-incline-bench-press","family","Smith   Bench Press","Smith Bench Press"
"smith-machine-reverse-lunge","equipmentId","selectorized_machine","smith_machine"
"smith-machine-reverse-lunge","family","Smith  Reverse Lunge","Smith Reverse Lunge"
"smith-machine-romanian-deadlift","equipmentId","selectorized_machine","smith_machine"
"smith-machine-romanian-deadlift","family","Smith  Romanian Deadlift","Smith Romanian Deadlift"
"smith-machine-shoulder-press","equipmentId","selectorized_machine","smith_machine"
"smith-machine-shoulder-press","family","Smith  Shoulder Press","Smith Shoulder Press"
"smith-machine-split-squat","equipmentId","selectorized_machine","smith_machine"
"smith-machine-split-squat","family","Smith  Split Squat","Smith Split Squat"
"sprint","movementPattern","Other","Cardio / Locomotion"
"sprint","primaryMuscles","full_body","cardiovascular"
"standing-long-jump","primaryMuscles","full_body","quadriceps,glutes"
"standing-long-jump","secondaryMuscles","rectus_abdominis,calves","calves"
"step-down","movementPattern","Other","Squat / Knee Dominant"
"step-down","primaryMuscles","full_body","quadriceps"
"step-down","secondaryMuscles","-","glutes"
"stepmill","movementPattern","Other","Cardio / Locomotion"
"stepmill","primaryMuscles","full_body","cardiovascular"
"straight-arm-cable-pulldown","family","Straight-Arm  Pulldown","Straight-Arm Pulldown"
"strides","movementPattern","Other","Cardio / Locomotion"
"strides","primaryMuscles","full_body","cardiovascular"
"suitcase-carry","primaryMuscles","grip","forearms,traps"
"suitcase-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"superman-hold","movementPattern","Other","Hinge / Hip Dominant"
"superman-hold","primaryMuscles","full_body","erector_spinae"
"supine-diaphragmatic-breathing","movementPattern","Other","Mobility"
"supine-diaphragmatic-breathing","primaryMuscles","full_body","mobility"
"suspension-trainer-fallout","movementPattern","Other","Core"
"suspension-trainer-fallout","primaryMuscles","full_body","rectus_abdominis"
"suspension-trainer-hip-press","movementPattern","Other","Hip Isolation"
"suspension-trainer-hip-press","primaryMuscles","full_body","glutes"
"suspension-trainer-knee-tuck","movementPattern","Other","Core"
"suspension-trainer-knee-tuck","primaryMuscles","full_body","rectus_abdominis"
"suspension-trainer-mountain-climber","movementPattern","Other","Core"
"suspension-trainer-mountain-climber","primaryMuscles","full_body","rectus_abdominis"
"suspension-trainer-pike","movementPattern","Other","Core"
"suspension-trainer-pike","primaryMuscles","full_body","rectus_abdominis"
"suspension-trainer-single-arm-row","family","Suspension Trainer  Row","Suspension Trainer Row"
"suspension-trainer-single-leg-squat","family","Suspension Trainer  Squat","Suspension Trainer Squat"
"suspension-trainer-t-raise","movementPattern","Other","Shoulder Isolation"
"suspension-trainer-t-raise","primaryMuscles","full_body","rear_deltoids"
"suspension-trainer-y-raise","movementPattern","Other","Shoulder Isolation"
"suspension-trainer-y-raise","primaryMuscles","full_body","rear_deltoids"
"tempo-ride","movementPattern","Other","Cardio / Locomotion"
"tempo-ride","primaryMuscles","full_body","cardiovascular"
"thoracic-extension-on-bench","movementPattern","Elbow Extension","Mobility"
"thoracic-extension-on-bench","primaryMuscles","full_body","mobility"
"thoracic-extension-on-foam-roller","movementPattern","Elbow Extension","Mobility"
"thoracic-extension-on-foam-roller","primaryMuscles","full_body","mobility"
"thread-the-needle","movementPattern","Other","Mobility"
"thread-the-needle","primaryMuscles","full_body","mobility"
"threshold-ride","movementPattern","Other","Cardio / Locomotion"
"threshold-ride","primaryMuscles","full_body","cardiovascular"
"tibialis-raise","movementPattern","Other","Calf / Ankle"
"tibialis-raise","primaryMuscles","full_body","tibialis_anterior"
"tibialis-raise-machine","movementPattern","Other","Calf / Ankle"
"tibialis-raise-machine","primaryMuscles","full_body","tibialis_anterior"
"toe-touch","movementPattern","Other","Mobility"
"toe-touch","primaryMuscles","full_body","mobility"
"toes-to-bar","movementPattern","Other","Core"
"toes-to-bar","primaryMuscles","full_body","rectus_abdominis"
"track-repeats","movementPattern","Other","Cardio / Locomotion"
"track-repeats","primaryMuscles","full_body","cardiovascular"
"trap-bar-farmer-carry","primaryMuscles","grip","forearms,traps"
"trap-bar-farmer-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"treadmill-incline-walk","family","Treadmill  Walk","Treadmill Walk"
"triple-hop","primaryMuscles","full_body","quadriceps,glutes"
"triple-hop","secondaryMuscles","rectus_abdominis,calves","calves"
"tuck-jump","primaryMuscles","full_body","quadriceps,glutes"
"tuck-jump","secondaryMuscles","rectus_abdominis,calves","calves"
"two-hand-dumbbell-overhead-triceps-extension","family","Two-Hand  Overhead Triceps Extension","Two-Hand Overhead Triceps Extension"
"v-sit","movementPattern","Other","Core"
"v-sit","primaryMuscles","full_body","rectus_abdominis"
"v-up","movementPattern","Other","Core"
"v-up","primaryMuscles","full_body","rectus_abdominis"
"versaclimber","movementPattern","Other","Cardio / Locomotion"
"versaclimber","primaryMuscles","full_body","cardiovascular"
"viking-press","movementPattern","Other","Vertical Push"
"viking-press","primaryMuscles","full_body","front_deltoids"
"walking-lunge","movementPattern","Cardio / Locomotion","Squat / Knee Dominant"
"walking-lunge","primaryMuscles","cardiovascular","quadriceps"
"walking-lunge","secondaryMuscles","quadriceps","glutes,hamstrings"
"wall-angel","movementPattern","Other","Mobility"
"wall-angel","primaryMuscles","full_body","mobility"
"wall-sit","movementPattern","Other","Squat / Knee Dominant"
"wall-sit","primaryMuscles","full_body","quadriceps"
"wall-sit","secondaryMuscles","-","glutes"
"wide-grip-cable-lat-pulldown","family","Wide-Grip  Lat Pulldown","Wide-Grip Lat Pulldown"
"wide-grip-cable-seated-row","family","Wide-Grip   Row","Wide-Grip Row"
"windshield-wiper","movementPattern","Other","Core"
"windshield-wiper","primaryMuscles","full_body","obliques"
"wrist-car","movementPattern","Other","Mobility"
"wrist-car","primaryMuscles","full_body","mobility"
"yoke-carry","primaryMuscles","grip","forearms,traps"
"yoke-carry","secondaryMuscles","rectus_abdominis,traps,forearms","rectus_abdominis"
"(muscles.json)","addMuscle","-","neck / Neck / Upper Body"
"neck-flexion-machine","movementPattern","Other","Neck Isolation"
"neck-flexion-machine","primaryMuscles","full_body","neck"
"neck-extension-machine","movementPattern","Elbow Extension","Neck Isolation"
"neck-extension-machine","primaryMuscles","full_body","neck"
"machine-neck-lateral-flexion","movementPattern","Other","Neck Isolation"
"machine-neck-lateral-flexion","primaryMuscles","full_body","neck"
